trial,size_fraction,frames_fraction,window_size,window_step_size,num_frames,size_x,size_y,num_windows_x,num_windows_y,total_time,generate_rgb_time,window_ttcf_time,extract_embedding_time,process_windows_time,create_model_time,create_windows_time,img_stk_nbytes,low_res_feature_map_nbytes,window_ttcf_nbytes,total_except_img_stk_size,total_size
6,0.6,1.0,125,10,53,1132,1132,101,53,214.23092317581177,48.45535469055176,1.2636184692382812e-05,95.9110426902771,69.32690382003784,0.1495344638824463,0.07088470458984375,0.271661888,0.057452032,0.229236872,0.286688904,0.558350792
6,0.6,0.8,65,10,42,1132,1132,107,42,162.4490818977356,46.867512464523315,1.4543533325195312e-05,89.91744709014893,24.958256006240845,0.2275409698486328,0.06703329086303711,0.215279232,0.064480768,0.161568288,0.226049056,0.441328288
6,0.6,0.8,35,10,42,1132,1132,110,42,219.78496956825256,61.518559217453,1.2159347534179688e-05,134.08220863342285,23.417475938796997,0.18299388885498047,0.0816962718963623,0.215279232,0.0681472,0.1707552,0.2389024,0.454181632
6,0.6,0.8,95,10,42,1132,1132,104,42,175.81900811195374,50.59624886512756,1.6927719116210938e-05,91.36685967445374,33.33083891868591,0.1460263729095459,0.05605292320251465,0.215279232,0.060915712,0.152635392,0.213551104,0.428830336
6,0.6,0.8,125,10,42,1132,1132,101,42,171.78403091430664,42.576735734939575,1.1205673217773438e-05,83.75523900985718,44.806994676589966,0.15877103805541992,0.06589937210083008,0.215279232,0.057452032,0.143956512,0.201408544,0.416687776
6,0.6,0.7,65,10,37,1132,1132,107,37,158.53426837921143,50.23004698753357,9.298324584960938e-06,86.84619426727295,20.937178373336792,0.1474323272705078,0.04950118064880371,0.189650752,0.064480768,0.125389448,0.189870216,0.379520968
6,0.6,0.7,35,10,37,1132,1132,110,37,173.35395741462708,60.094552755355835,1.7881393432617188e-05,96.43022036552429,16.322322130203247,0.1478261947631836,0.049807071685791016,0.189650752,0.0681472,0.1325192,0.2006664,0.390317152
6,0.6,0.7,95,10,37,1132,1132,104,37,203.47030305862427,48.99833536148071,1.239776611328125e-05,122.1433572769165,31.748923540115356,0.16784405708312988,0.051668643951416016,0.189650752,0.060915712,0.118456832,0.179372544,0.369023296
6,0.6,0.7,125,10,37,1132,1132,101,37,202.39883995056152,40.47809410095215,1.1444091796875e-05,102.99710583686829,58.11638689041138,0.24042916297912598,0.07366085052490234,0.189650752,0.057452032,0.111721352,0.169173384,0.358824136
6,0.6,0.5,65,10,26,1132,1132,107,26,141.32673978805542,46.0377082824707,1.1444091796875e-05,80.52143287658691,14.259435892105103,0.1508622169494629,0.0349423885345459,0.133268096,0.064480768,0.061916192,0.12639696,0.259665056
6,0.6,0.5,35,10,26,1132,1132,110,26,146.01486134529114,46.49428367614746,1.239776611328125e-05,88.06587505340576,10.649959325790405,0.23184657096862793,0.04290175437927246,0.133268096,0.0681472,0.0654368,0.133584,0.266852096
6,0.6,0.5,95,10,26,1132,1132,104,26,210.09311747550964,49.04714345932007,2.0265579223632812e-05,134.60457038879395,25.662431716918945,0.19139432907104492,0.054332733154296875,0.133268096,0.060915712,0.058492928,0.11940864,0.252676736
6,0.6,0.5,125,10,26,1132,1132,101,26,157.7935619354248,48.99905323982239,1.049041748046875e-05,83.98509645462036,24.3249933719635,0.1499037742614746,0.035421133041381836,0.133268096,0.057452032,0.055167008,0.11261904,0.245887136
6,0.6,0.1,65,10,5,1132,1132,107,5,138.670396566391,47.304991483688354,1.1920928955078125e-05,84.8283109664917,6.068126440048218,0.1487581729888916,0.007372617721557617,0.02562848,0.064480768,0.0022898,0.066770568,0.092399048
